Name,description,muscle_groups,video_embed_url,image_url
Barbell Bench Press,,"Chest,Triceps",,https://www.bodybuilding.com/images/2016/july/10-best-chest-exercises-for-building-muscle-v2-1-700xh.jpg
Dumbbell Bench Press,,"Chest,Triceps",https://www.youtube.com/embed/Y_7aHqXeCfQ?ecver=1,https://www.bodybuilding.com/images/2016/july/10-best-chest-exercises-for-building-muscle-v2-2-700xh.jpg
Barbell Incline Bench Press,,"Chest,Triceps",,https://www.bodybuilding.com/images/2016/july/10-best-chest-exercises-for-building-muscle-v2-3-700xh.jpg
Dumbbell Incline Bench Press,,"Chest,Triceps",,https://www.bodybuilding.com/images/2016/july/10-best-chest-exercises-for-building-muscle-v2-5-700xh.jpg
Barbell Decline Bench Press,,"Chest,Triceps",,https://uploads-cdn.thgblogs.com/wp-content/uploads/sites/478/2016/02/28022905/barbel.jpg
Dumbbell Decline Bench Press,,"Chest,Triceps",,https://uploads-cdn.thgblogs.com/wp-content/uploads/sites/419/2015/07/14134844/decline-bench-press-dumbbell.jpg
Cable Fly,,"Chest,Triceps",,http://seannal.com/images/cable-crossover.jpg
Dumbbell Fly,,"Chest,Triceps",,https://qph.fs.quoracdn.net/main-qimg-4f34ffd198e75a6582b52db81e3613d0
Seated Machine Chest Press,,"Chest,Triceps",,https://www.bodybuilding.com/images/2016/july/10-best-chest-exercises-for-building-muscle-v2-4-700xh.jpg
Chest Dips,,"Chest,Triceps",,https://www.bodybuilding.com/images/2016/july/10-best-chest-exercises-for-building-muscle-v2-6-700xh.jpg
Pec-Deck Machine,,"Chest,Triceps",,https://www.bodybuilding.com/images/2016/july/10-best-chest-exercises-for-building-muscle-v2-8-700xh.jpg
Barbell Curl,,"Biceps,Forearms",,http://cdn2.coachmag.co.uk/sites/coachmag/files/styles/insert_main_wide_image/public/2016/07/3-3a-barbell-bicpes-curl.jpg?itok=a6KyD-pm
Dumbell Curl,,"Biceps,Forearms",,https://cdn-ami-drupal.heartyhosting.com/sites/muscleandfitness.com/files/_main_dbcurl.jpg
Hammer Curl,,"Biceps,Forearms",,http://www.burnthefatinnercircle.com/members/images/1510.jpg
Reverse Grip Barbell Curl,,"Biceps,Forearms",,http://bodybuilding-wizard.com/wp-content/uploads/2015/08/reverse-barbell-curl-exercise-1-5.jpg
Cable Curl,,"Biceps,Forearms",,https://i.pinimg.com/originals/68/33/f7/6833f75c7b2c603e6d87ca84392d568e.png
Tricep Extension,,"Triceps",,http://cdn2.coachmag.co.uk/sites/coachmag/files/styles/insert_main_wide_image/public/2016/07/1-3a-dumbbell-triceps-extension.jpg?itok=D_QQODwb
Tricep Cable Extension,,"Triceps",,http://thepageantplanet.com/wp-content/uploads/2015/10/rope-push-downs.jpg
Skull Crusher,,"Triceps",,http://www.fitness-central.co.uk/wp-content/uploads/2018/02/supine-tricep-press.jpg
V-Bar Pull Downs,,"Back,Trapezius,Biceps",,http://www.fitnessandpower.com/wp-content/uploads/2017/07/wide-grip-lat-pulldown.jpg
Pull Up,,"Back,Trapezius,Biceps",,https://s3-us-west-2.amazonaws.com/beachbody-blog/uploads/2015/08/bb_pull-ups-regular_web.jpg
Cable Row,,"Back,Trapezius,Biceps",,https://www.burnthefatinnercircle.com/members/images/1664b.jpg?cb=20180525121408
Dumbbell Row,,"Back,Trapezius,Biceps",,"
https://cdn-ami-drupal.heartyhosting.com/sites/muscleandfitness.com/files/one-arm-elbow-in-dumbbell-row-main.jpg"
Deadlift,,"Back,Trapezius,Biceps,Abs,Hamstrings,Quads",,https://www.mensjournal.com/wp-content/uploads/mf/rookie-mistake-deadlift_0.jpg?w=1200&h=1200&crop=1
Barbell Squats,,"Quads,Hamstrings",,https://i.pinimg.com/originals/57/14/c5/5714c5cd19f4743ac03ed92df1fc2958.jpg
Dumbell Lunges,,"Quads,Hamstrings",,https://www.mensjournal.com/wp-content/uploads/mf/_main_walking-lunge.jpg
Leg Press,,"Quads,Hamstrings",,http://weighttraining.guide/wp-content/uploads/2016/05/Sled-45-degree-Leg-Press.png
Seated Calf Raise,,"Calves",,http://weighttraining.guide/wp-content/uploads/2016/10/Lever-Seated-Calf-Raise-plate-loaded.png
